,title,price,link,image_url,Kilométrage,Couleur du véhicule,Etat du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Livraison,Cylindrée moto
154,iveco35 12,30000,https://www.tayara.tn/fr/item/677f03a9f39faeaa98ccaa77/Voitures/Sousse/Sousse/iveco35_12_/,https://www.tayara.tn/mediaGateway/resize-image?img=b5/b513b86e-8a00-455f-a1ee-ed7097a86bc9&w=300,600000,Blanc,Nouveau,Manuelle,2008,2.8L,Iveco,Daily,8,Autres,Diesel,,
155,nissan Qashqai,48000,https://www.tayara.tn/fr/item/677e3463f39faeaa98cbeaff/Voitures/Tunis/Le_Bardo/nissan_Qashqai_/,https://www.tayara.tn/mediaGateway/resize-image?img=7c/7cf9dd88-cef1-40c8-b676-0da6284e8329&w=300,197000,Noir,Nouveau,Automatique,2017,1.6L,Nissan,Qashqai,7,4 x 4,Diesel,,
156,À vendre haval jolion,60000,https://www.tayara.tn/fr/item/677d00b9b7de28167ed032db/Voitures/Sousse/Sousse/_vendre_haval_jolion/,https://www.tayara.tn/mediaGateway/resize-image?img=0d/0d548733-923d-4724-8d6d-8772de258d20&w=300,5000,Noir,Nouveau,Automatique,2023,1.5L,Haval,jolion,9,4 x 4,Essence,,
157,Ford F350 Dually V8,170000,https://www.tayara.tn/fr/item/677cffcff39faeaa98cb226d/Voitures/Ariana/Raoued/Ford_F350_Dually_V8/,https://www.tayara.tn/mediaGateway/resize-image?img=42/42a91dcd-73ff-4e03-b515-8058978fa17c&w=300,61000,Noir,Avec kilométrage,Automatique,2005,>4.0L,Ford,F350,30,Pick up,Diesel,,
158,Mitsubishi L200,18000,https://www.tayara.tn/fr/item/677cfe9ff39faeaa98cb2119/Voitures/Ben_Arous/El_Mourouj_3/Mitsubishi_L200_/,https://www.tayara.tn/mediaGateway/resize-image?img=e0/e0a56843-fa45-40f3-ab7e-8eb5ed85a554&w=300,555,Blanc,Nouveau,Manuelle,1999,1.1L,Mitsubishi,L200,10,4 x 4,Diesel,,
159,voiture kadjar,65000,https://www.tayara.tn/fr/item/677cfbffb7de28167ed02dc5/Voitures/Tunis/Monfleury/voiture_kadjar/,https://www.tayara.tn/mediaGateway/resize-image?img=9c/9c68a179-32a2-4e67-98ae-8dd7f93fae16&w=300,132,Bleu,Avec kilométrage,Manuelle,2018,1.3L,Renault,Kadjar,5,Compacte,Essence,,
160,GOLF6 1.4 ESSENCE,37500,https://www.tayara.tn/fr/item/677cfa7eb7de28167ed02bc7/Voitures/Sousse/Sahloul/GOLF6_14_ESSENCE/,https://www.tayara.tn/mediaGateway/resize-image?img=ff/ff41ccc6-9dde-4c88-865f-bd00a1eefe4d&w=300,225.000,Blanc,,Manuelle,2011,1.4L,Volkswagen,Golf,5,,Essence,,
161,Fiat Punto grande,21000,https://www.tayara.tn/fr/item/677baec3f39faeaa98ca38fe/Voitures/Sousse/Hammam_Sousse/Fiat_Punto_grande_/,https://www.tayara.tn/mediaGateway/resize-image?img=6c/6c08392b-fbec-41e8-bd26-b0eb7e87b022&w=300,185000,Bleu,Avec kilométrage,Manuelle,2007,1.2L,Fiat,Punto,5,Compacte,Essence,,
162,bon etat bien entretenu 97994425,47000,https://www.tayara.tn/fr/item/6770fd93b7de28167ec92ec9/Voitures/Ben_Arous/El_Mourouj_6/bon_etat_bien_entretenu_97994425/,https://www.tayara.tn/mediaGateway/resize-image?img=ab/abcd578f-f82f-46ec-aca7-0a43255a0005&w=300,230000,Noir,Avec kilométrage,Automatique,2016,1.4L,Skoda,Octavia,8,Berline,Essence,,
163,Volkswagen Jetta,45000,https://www.tayara.tn/fr/item/677a6ec7b7de28167ece8255/Voitures/Ben_Arous/Boumhel/Volkswagen_Jetta_/,https://www.tayara.tn/mediaGateway/resize-image?img=65/65884127-7e54-4ba9-934b-e303a445123c&w=300,255000,Doré,Avec kilométrage,Automatique,2016,2.0L,Volkswagen,Jetta,7,Berline,Essence,,
164,MG3,46000,https://www.tayara.tn/fr/item/677a6b7cf39faeaa98c96f22/Voitures/Sousse/Sousse/MG3/,https://www.tayara.tn/mediaGateway/resize-image?img=1c/1c702799-212d-4cae-8e6d-a49c6939f390&w=300,70000,Noir,Nouveau,Manuelle,2021,1.5L,MG,3,5,Berline,Essence,,
165,Pick up Changan double cabine,42000,https://www.tayara.tn/fr/item/677a69def39faeaa98c96ddd/Camions/Nabeul/Bou_Argoub/Pick_up_Changan_double_cabine/,https://www.tayara.tn/mediaGateway/resize-image?img=53/53169832-94ee-4758-8f03-92b28158ea93&w=300,,,,,,,,,,,,,
166,Symbol tres bonne occasion à Vendre,28000,https://www.tayara.tn/fr/item/67785fd9f39faeaa98c864ba/Voitures/Nabeul/Korba/Symbol_tres_bonne_occasion_Vendre/,https://www.tayara.tn/mediaGateway/resize-image?img=1c/1c0f43ec-15df-4f0e-8578-872cdd8276bd&w=300,176000,Gris,,,2009,1.2L,Renault,Symbol,5,Compacte,Essence,,
167,Polo 8,43000,https://www.tayara.tn/fr/item/67784c0fb7de28167ecd6207/Voitures/Sfax/Route_de_laroport/Polo_8/,https://www.tayara.tn/mediaGateway/resize-image?img=7b/7b1d8458-60dd-42cb-a94a-cb96533bda93&w=300,112000,Noir,Avec kilométrage,Manuelle,2020,1.2L,Volkswagen,Polo,4,Autres,Essence,,
168,Audi A3 berline,69000,https://www.tayara.tn/fr/item/67784681b7de28167ecd5c5a/Voitures/Tunis/El_Omrane_Suprieur/Audi_A3_berline_/,https://www.tayara.tn/mediaGateway/resize-image?img=3e/3e81e3f1-43c4-4f33-bbc5-3dd0e9650d2a&w=300,60000,Blanc,Nouveau,Automatique,2016,1.4L,Audi,A3,7,Berline,Essence,,
169,R 19,11500,https://www.tayara.tn/fr/item/6776dab8b7de28167ecc641a/Voitures/Kairouan/Echrarda/R_19/,https://www.tayara.tn/mediaGateway/resize-image?img=28/2816dfdc-b44f-4e87-99b2-f0e96a4c0849&w=300,500000,Bleu,Nouveau,Manuelle,1993,1.2L,Renault,R19,6,Autres,Essence,,
170,Dacia sandero,34500,https://www.tayara.tn/fr/item/6776d71cf39faeaa98c750a7/Voitures/Bizerte/Bizerte_Nord/Dacia_sandero/,https://www.tayara.tn/mediaGateway/resize-image?img=9a/9a8e5297-39b1-4141-83f4-70e94d23552d&w=300,97000,Gris,Avec kilométrage,Manuelle,2021,1.1L,Dacia,Sandero,5,Compacte,Essence,,
171,CLIO CLASSIQUE,22000,https://www.tayara.tn/fr/item/6776d124f39faeaa98c74b33/Voitures/Sidi_Bouzid/Autres_Villes/CLIO_CLASSIQUE/,https://www.tayara.tn/mediaGateway/resize-image?img=98/98cc37c6-7407-42d8-9538-efcf56b4820a&w=300,360000,Gris,Avec kilométrage,Manuelle,2005,1.4L,Renault,Clio,5,Compacte,Essence,,
172,megane 2 casquette 1.4 essence,19500,https://www.tayara.tn/fr/item/6776ceb6b7de28167ecc5882/Voitures/Ben_Arous/Rads/megane_2_casquette_14_essence_/,https://www.tayara.tn/mediaGateway/resize-image?img=54/5493a9aa-43fa-40bf-87b6-ee44dc82043e&w=300,250000,Gris,Avec kilométrage,Manuelle,2005,1.4L,Renault,Megane Estate,6,Berline,Essence,,
173,Fiat palio,12000,https://www.tayara.tn/fr/item/6776c97ab7de28167ecc53b9/Voitures/Tunis/Sidi_Hassine/Fiat_palio/,https://www.tayara.tn/mediaGateway/resize-image?img=02/027b61ac-d1e7-4d6f-9f7f-9990cde007ce&w=300,300000,Gris,Avec kilométrage,Manuelle,2001,>4.0L,Fiat,Palio,0,Compacte,Essence,,
174,VEND VOITURE GELLY,38700,https://www.tayara.tn/fr/item/67757917f39faeaa98c65df3/Voitures/Sousse/Sousse_Mdina/VEND_VOITURE_GELLY/,https://www.tayara.tn/mediaGateway/resize-image?img=4f/4fdb60ec-4cdc-4333-8f89-76b03fcd48fd&w=300,31000,Noir,Nouveau,Manuelle,,1.5L,Geely,LC,,Compacte,Essence,,
175,A vendre  camion à  benne,55000000,https://www.tayara.tn/fr/item/67757826b7de28167ecb69f0/Camions/Kasserine/Sbetla/A_vendre_camion_benne_/,https://www.tayara.tn/mediaGateway/resize-image?img=e4/e453a472-d4ef-4ab4-b822-ce5b1fbe000b&w=300,,,,,,,,,,,,,
176,vente,75000,https://www.tayara.tn/fr/item/6775745cb7de28167ecb65e4/Voitures/Mdenine/Djerba_Midoun/vente/,https://www.tayara.tn/mediaGateway/resize-image?img=91/91a86200-abd2-44bd-b7a4-fe99874a096d&w=300,80000,Blanc,RS,Automatique,2017,2.0L,Ssangyong,Actyon,7,Pick up,Diesel,,
177,Golf 4,19000,https://www.tayara.tn/fr/item/6775720eb7de28167ecb63d3/Voitures/Mahdia/Mahdia/Golf_4/,https://www.tayara.tn/mediaGateway/resize-image?img=e0/e046d2cf-4be6-4e2c-845e-55f1cf61cabe&w=300,,Gris,Avec kilométrage,Manuelle,1998,1.4L,Volkswagen,Golf,,,Essence,,
178,Nissan,32000,https://www.tayara.tn/fr/item/677571c5f39faeaa98c65713/Voitures/Bizerte/Bizerte/Nissan/,https://www.tayara.tn/mediaGateway/resize-image?img=c4/c4f23671-5261-4c1c-b1f9-59f25e9241e7&w=300,160000,Noir,Avec kilométrage,Manuelle,2013,1.6L,Nissan,Juke,7,Autres,Essence,,
179,"C5 1,6 HDI",30000,https://www.tayara.tn/fr/item/67756ca9f39faeaa98c6537e/Voitures/Mdenine/Djerba_Houmt_Souk/C5_16_HDI/,https://www.tayara.tn/mediaGateway/resize-image?img=3a/3a05b93e-b897-4cf0-8972-1a659818a4a7&w=300,1234,Gris,Avec kilométrage,Manuelle,2010,1.6L,Citroen,C5,6,Berline,Diesel,,
180,Audi a5,140000,https://www.tayara.tn/fr/item/6773ad68f39faeaa98c583a8/Voitures/Sousse/M_Saken/Audi_a5_/,https://www.tayara.tn/mediaGateway/resize-image?img=3b/3b0bd90f-fb24-46b3-ba77-94b921c6c4ef&w=300,160000,Blanc,RS,Automatique,2018,2.0L,Audi,A5,10,Berline,Essence,,
181,av Picanto,39000,https://www.tayara.tn/fr/item/6773aae2f39faeaa98c58292/Voitures/Nabeul/Klibia/av_Picanto_/,https://www.tayara.tn/mediaGateway/resize-image?img=a6/a6a46a8b-b8ee-4c0c-87ab-7291f4e8cc2d&w=300,70000,Noir,Nouveau,Manuelle,2024,<1.0L,Kia,Picanto,4,Compacte,Essence,,
182,voiture 1ere main,45000,https://www.tayara.tn/fr/item/6773a7b6f39faeaa98c580ef/Voitures/Tunis/Cit_El_Khadra/voiture_1ere_main/,https://www.tayara.tn/mediaGateway/resize-image?img=bb/bb42ba5f-9292-4235-9a76-198207e20cc0&w=300,155000,Blanc,Avec kilométrage,Manuelle,2015,1.2L,Seat,Leon,6,Compacte,Essence,,
183,Golf 7 boite auto à vendre,64000,https://www.tayara.tn/fr/item/67738eeef39faeaa98c5794d/Voitures/Sfax/Route_TANIOUR/Golf_7_boite_auto_vendre/,https://www.tayara.tn/mediaGateway/resize-image?img=da/dae6f995-9cd3-4c00-b88d-4cfbc29f5b54&w=300,131000,Gris,Nouveau,Automatique,2019,<1.0L,Volkswagen,Golf 7,6,Compacte,Essence,,
184,Peugeot 508 EHDI,36500,https://www.tayara.tn/fr/item/67719db8f39faeaa98c484fe/Voitures/Ariana/Les_Jardins_El_Menzah_2/Peugeot_508_EHDI/,https://www.tayara.tn/mediaGateway/resize-image?img=95/950a8e8e-9022-4547-9a83-f5e3e89cdaaa&w=300,320000,Noir,Avec kilométrage,Manuelle,2011,1.6L,Peugeot,508,6,Autres,Diesel,,
185,Mahindra KUV100 K6 - Année 2020 - 58 000 Km,28000,https://www.tayara.tn/fr/item/67719b42f39faeaa98c4830a/Voitures/Tunis/L_Aouina/Mahindra_KUV100_K6_Anne_2020_58_000_Km/,https://www.tayara.tn/mediaGateway/resize-image?img=a9/a9d6f020-b721-4791-a5ef-53bd10b68536&w=300,58000,Rouge,,Manuelle,2020,1.2L,Mahindra,,5,Compacte,Essence,,
186,Une Citroen berlingo k9,53000,https://www.tayara.tn/fr/item/67719ac7f39faeaa98c482b7/Voitures/Monastir/Ouerdanine/Une_Citroen_berlingo_k9_/,https://www.tayara.tn/mediaGateway/resize-image?img=d6/d683d127-76f4-4e4d-b530-3b7a50ba7d1a&w=300,109000,Blanc,Avec kilométrage,Manuelle,2020,1.6L,Citroen,Berlingo,4,Autres,Diesel,,
187,peugeot 2008,45000,https://www.tayara.tn/fr/item/67718820f39faeaa98c47415/Voitures/Ben_Arous/Ezzahra/peugeot_2008_/,https://www.tayara.tn/mediaGateway/resize-image?img=47/4781b97f-4774-4988-8254-6618672f2ac8&w=300,146000,Marron,Avec kilométrage,Manuelle,2015,1.4L,Peugeot,2008,5,Berline,Essence,,
188,Peugeot 308,25000,https://www.tayara.tn/fr/item/676ff135b7de28167ec8af1b/Voitures/La_Manouba/Tebourba/Peugeot_308_/,https://www.tayara.tn/mediaGateway/resize-image?img=91/91401c81-dc5c-46a8-98d1-4efada3481bc&w=300,226891,Blanc,Avec kilométrage,Manuelle,2010,1.4L,Peugeot,308 SW,6,Compacte,Essence,,
189,MERCEDES CLASSE A BERLINE A VENDRE,135000,https://www.tayara.tn/fr/item/676fefe1f39faeaa98c3a186/Voitures/Tunis/Lac_2/MERCEDES_CLASSE_A_BERLINE_A_VENDRE/,https://www.tayara.tn/mediaGateway/resize-image?img=34/34bee768-5c24-45b4-8c76-fcda339da186&w=300,64000,Noir,Nouveau,Automatique,2022,1.6L,Mercedes-Benz,Classe A,7,Berline,Essence,,
190,Mercedes sprinter modèle 314 CDI,125000,https://www.tayara.tn/fr/item/676fee93b7de28167ec8ad37/Camions/Bizerte/Menzel_Jemil/Mercedes_sprinter_modle_314_CDI/,https://www.tayara.tn/mediaGateway/resize-image?img=fb/fb4fac26-720d-45c9-a57e-831442bccc70&w=300,,,,,,,,,,,,,
191,Kia Sportage,48800,https://www.tayara.tn/fr/item/676da803b7de28167ec787e2/Voitures/Tunis/Tunis/Kia_Sportage/,https://www.tayara.tn/mediaGateway/resize-image?img=da/da428e80-2b08-4571-a871-ab61c72c91b7&w=300,160000,Gris,Avec kilométrage,Manuelle,2012,1.6L,Kia,Sportage,7,4 x 4,Essence,,
192,om 40,15000000,https://www.tayara.tn/fr/item/676da7cbf39faeaa98c27b63/Camions/La_Manouba/Mornaguia/om_40_/,https://www.tayara.tn/mediaGateway/resize-image?img=1c/1c60f000-d65f-4a29-b5cf-8834a37ee7e5&w=300,,,,,,,,,,,,,
193,Renault express,11000,https://www.tayara.tn/fr/item/676d9eceb7de28167ec78068/Voitures/Sousse/Hammam_Sousse/Renault_express/,https://www.tayara.tn/mediaGateway/resize-image?img=ff/fff50bc9-5dc5-4f9f-a417-6b154aed0c64&w=300,290000,Blanc,Avec kilométrage,Manuelle,1992,<1.0L,Renault,14,6,Autres,Essence,,
194,Seat Ibiza Excellence,59500,https://www.tayara.tn/fr/item/676d9d65f39faeaa98c2727e/Voitures/Gafsa/Gafsa_Sud/Seat_Ibiza_Excellence/,https://www.tayara.tn/mediaGateway/resize-image?img=65/65bd3323-99dc-4bdb-9f20-455303a25f73&w=300,94787,Gris,Avec kilométrage,Manuelle,2021,<1.0L,Seat,Ibiza,4,Compacte,Essence,,
195,voiture a vendre 1.3  N° TEL 24 645 060,17500,https://www.tayara.tn/fr/item/676c1fc3b7de28167ec69fb5/Voitures/Ariana/Borj_Louzir/voiture_a_vendre_13_N_TEL_24_645_060/,https://www.tayara.tn/mediaGateway/resize-image?img=fa/fa706f65-8674-4315-8be4-d5ed9e002396&w=300,1500,Blanc,Nouveau,Automatique,2017,1.7L,Dongfeng,,1.7,Autres,Essence,,
196,C3 nv,39500,https://www.tayara.tn/fr/item/676c1e72b7de28167ec69e98/Voitures/Tunis/Sidi_Hassine/C3_nv_/,https://www.tayara.tn/mediaGateway/resize-image?img=db/db845a14-f8cb-4858-a631-fc6c8bdd5ec1&w=300,119000,Orange,Nouveau,Manuelle,,,Citroen,C3,4,Utilitaire,Essence,,
197,suzuki swift 3,38000,https://www.tayara.tn/fr/item/676c1321b7de28167ec69494/Voitures/Monastir/Monastir/suzuki_swift_3/,https://www.tayara.tn/mediaGateway/resize-image?img=0e/0e383423-7b4e-4587-83ab-05a68c6f1477&w=300,160000,Marron,Avec kilométrage,Manuelle,2020,1.2L,Suzuki,Swift,4,Berline,Essence,,
198,Skoda Fabia,34200,https://www.tayara.tn/fr/item/676c0decf39faeaa98c183a4/Voitures/Ben_Arous/Boumhel/Skoda_Fabia_/,https://www.tayara.tn/mediaGateway/resize-image?img=d6/d6930df7-42b9-47c8-907d-390e2f25094b&w=300,144500,Bleu,Avec kilométrage,Manuelle,2015,,Skoda,Fabia,4,,Essence,,
199,Mercedes GLE 300D,278000,https://www.tayara.tn/fr/item/676a930ff39faeaa98c09a0f/Voitures/Nabeul/Menzel_Temime/Mercedes_GLE_300D/,https://www.tayara.tn/mediaGateway/resize-image?img=3e/3e458ebd-caa6-4f9f-adfd-9be6a3807668&w=300,64000,Gris,Non dédouanné,Automatique,2020,>4.0L,Mercedes-Benz,Classe GLE,15,4 x 4,Diesel,,
200,logan mcv,45000,https://www.tayara.tn/fr/item/676910a6b7de28167ec4af5e/Voitures/Sousse/Hammam_Sousse/logan_mcv/,https://www.tayara.tn/mediaGateway/resize-image?img=a9/a962fe9b-25f5-400a-a263-6554f2f97bce&w=300,105000,Noir,Avec kilométrage,Manuelle,2021,1.2L,Dacia,Logan MCV,5,Monospace,Essence,,
201,camion man,170000,https://www.tayara.tn/fr/item/67690eb0f39faeaa98bfa241/Camions/Ariana/Ariana/camion_man_/,https://www.tayara.tn/mediaGateway/resize-image?img=97/972876e7-6748-4811-aec5-b78c407d2f68&w=300,,,,,,,,,,,,,
202,Citroen c5 break hdi,280000,https://www.tayara.tn/fr/item/6768af43f39faeaa98bf9504/Voitures/Tunis/Agba/Citroen_c5_break_hdi/,https://www.tayara.tn/mediaGateway/resize-image?img=e4/e44cef60-b93a-4632-ab28-939b433e3487&w=300,432000,Gris,,Manuelle,2009,1.6L,Citroen,C5,6,,Diesel,,
203,kia rio,21000,https://www.tayara.tn/fr/item/67675b57f39faeaa98bee3e1/Voitures/Gafsa/Mtlaoui/kia_rio_/,https://www.tayara.tn/mediaGateway/resize-image?img=64/64d4671f-3d8e-4705-b01b-790c64bc6ffc&w=300,190000,Blanc,Avec kilométrage,Manuelle,2011,1.6L,Kia,Rio,0,Compacte,Essence,,
204,A vendre Opel Corsa première main en très bon état,28000,https://www.tayara.tn/fr/item/67674cf7b7de28167ec3ec5a/Voitures/Ariana/Ariana/A_vendre_Opel_Corsa_premire_main_en_trs_bon_tat/,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c87a31fd-6507-427a-b54a-4e3917e5f849&w=300,116000,Noir,Nouveau,Manuelle,2015,1.2L,Opel,Corsa,5,Compacte,Essence,,
205,KIA RIO 2012,35000,https://www.tayara.tn/fr/item/67674272b7de28167ec3e721/Voitures/Tunis/La_Marsa/KIA_RIO_2012/,https://www.tayara.tn/mediaGateway/resize-image?img=1f/1f4624ad-f899-4198-aa9d-96c01fafbc2e&w=300,250000,Marron,Avec kilométrage,Manuelle,2012,1.2L,Kia,Rio,5,Compacte,Essence,,
206,voiture mg3,45500,https://www.tayara.tn/fr/item/67673270f39faeaa98bed0ac/Voitures/Tunis/Le_Bardo/voiture_mg3/,https://www.tayara.tn/mediaGateway/resize-image?img=a0/a0c4472a-1322-4b2e-8950-392b3b7e5054&w=300,38000,Bleu,Nouveau,Manuelle,2020,1.5L,MG,3,5,Berline,Essence,,
207,A vendre,11000,https://www.tayara.tn/fr/item/6765acdbb7de28167ec30814/Voitures/Ben_Arous/El_Mourouj_1/A_vendre_/,https://www.tayara.tn/mediaGateway/resize-image?img=29/29b49908-d609-4f95-9854-bf23166d29a5&w=300,,Bleu,Avec kilométrage,Manuelle,,1.4L,Volkswagen,Polo,5,Autres,Essence,,
208,MAHINDRA K6+,28000,https://www.tayara.tn/fr/item/6765a7e6b7de28167ec303d9/Voitures/Sousse/Kala_Sghira/MAHINDRA_K6/,https://www.tayara.tn/mediaGateway/resize-image?img=7e/7ebde605-54cc-40cf-baad-edac95a23c1a&w=300,79000,Blanc,Nouveau,Manuelle,2019,1.2L,Mahindra,,5,,Essence,,
209,isuzu d max,78450,https://www.tayara.tn/fr/item/676442afb7de28167ec23acc/Voitures/Tunis/Tunis/isuzu_d_max_/,https://www.tayara.tn/mediaGateway/resize-image?img=ae/aef63063-8890-417d-b009-58aab404a2b1&w=300,26,Blanc,Nouveau,Manuelle,26,2.5L,Isuzu,D-MAX,0,Autres,Diesel,,
210,Mazda CX-5  à Nabeul.,60000,https://www.tayara.tn/fr/item/6764424db7de28167ec23a7e/Voitures/Nabeul/Nabeul/Mazda_CX5_Nabeul/,https://www.tayara.tn/mediaGateway/resize-image?img=89/89f1045f-56e0-435a-9fc2-da7fdd97056f&w=300,147000,Noir,Avec kilométrage,Automatique,2015,1.9L,Mazda,CX-5,9,Autres,Essence,,
211,SKODA OCTAVIA 2 PHASE 2,32000,https://www.tayara.tn/fr/item/6762c381f39faeaa98bc4240/Voitures/Tunis/Cit_El_Khadra/SKODA_OCTAVIA_2_PHASE_2_/,https://www.tayara.tn/mediaGateway/resize-image?img=a1/a18be4cd-b27f-4199-a152-95c531010e0a&w=300,320000,Vert,Avec kilométrage,Manuelle,2010,1.6L,Skoda,Octavia,5,Berline,Diesel,,
212,MG ZS 2021 - Première Main - Faible Kilométrage - État Impeccable,68500,https://www.tayara.tn/fr/item/6762c03bf39faeaa98bc3fae/Voitures/Ben_Arous/Borj_Cedria/MG_ZS_2021_Premire_Main_Faible_Kilomtrage_tat_Impeccable/,https://www.tayara.tn/mediaGateway/resize-image?img=0f/0f3b5dcc-a00f-413f-aaaa-31bdf34a5ce5&w=300,25000,Rouge,Avec kilométrage,Manuelle,2021,1.5L,MG,ZS,7,Autres,Essence,,
213,Peugot 3008 GT,90000,https://www.tayara.tn/fr/item/6762be3ab7de28167ec14d2e/Voitures/Mdenine/Djerba_Houmt_Souk/Peugot_3008_GT/,https://www.tayara.tn/mediaGateway/resize-image?img=62/628a2dcb-6be4-47bf-bec9-fdb97b193775&w=300,,Rouge,Avec kilométrage,Automatique,2020,1.6L,Peugeot,3008,,4 x 4,Essence,,
214,crafter,30000,https://www.tayara.tn/fr/item/6762bd1ff39faeaa98bc3ccb/Voitures/Ben_Arous/Fouchana/crafter/,https://www.tayara.tn/mediaGateway/resize-image?img=04/0449c702-8a74-411d-bc76-9ea7cced4060&w=300,440,Blanc,Avec kilométrage,Manuelle,2014,2.0L,Volkswagen,Crafter,7,Utilitaire,Diesel,,
215,À vendre Peugeot 3008 GTI   FULL OPTION  1 ère main,105000,https://www.tayara.tn/fr/item/67617842b7de28167ec08d14/Voitures/Sousse/Kantaoui/_vendre_Peugeot_3008_GTI_FULL_OPTION_1_re_main_/,https://www.tayara.tn/mediaGateway/resize-image?img=94/9413a082-be10-45b3-b06a-140ce8044583&w=300,48200,Blanc,Nouveau,Automatique,2022,1.6L,Peugeot,3008,,4 x 4,Essence,,
216,Mégane 2 essence,21200,https://www.tayara.tn/fr/item/67617762f39faeaa98bb7c83/Voitures/Bja/Bja_Sud/Mgane_2_essence_/,https://www.tayara.tn/mediaGateway/resize-image?img=90/909170c0-0a0a-4381-9442-74511831c6fa&w=300,234450,Noir,Avec kilométrage,Manuelle,2004,1.4L,Renault,Megane,6,Compacte,Essence,,
217,Citroën jumper,24000,https://www.tayara.tn/fr/item/6761755fb7de28167ec08b0e/Voitures/Tunis/Sidi_Daoud/Citron_jumper_/,https://www.tayara.tn/mediaGateway/resize-image?img=5c/5c277d3f-4c62-4491-87af-a75dfffa5612&w=300,230,Blanc,Avec kilométrage,Manuelle,2009,,,,,Autres,Diesel,,
218,13000,13000,https://www.tayara.tn/fr/item/67617267f39faeaa98bb78d5/Voitures/Jendouba/Jendouba/13000/,https://www.tayara.tn/mediaGateway/resize-image?img=8b/8bff3d1c-e87a-46d4-80f0-ab4440b5d66f&w=300,211900,Noir,Avec kilométrage,Manuelle,2006,1.4L,Fiat,Siena,5,Berline,Essence,,
219,Toyota agya,35000,https://www.tayara.tn/fr/item/67616fb0f39faeaa98bb76d3/Voitures/Sousse/Hammam_Sousse/Toyota_agya/,https://www.tayara.tn/mediaGateway/resize-image?img=c6/c696f672-d446-4222-bbd5-b0251264ee76&w=300,33000,Gris,Avec kilométrage,Manuelle,2022,3.0L,Toyota,Aygo,4,,Essence,,
220,vendre semi rigide Hypocampe Boat 6.25 mètres,110000,https://www.tayara.tn/fr/item/676032c6b7de28167ebfd54b/Bateaux/Nabeul/Hammamet/vendre_semi_rigide_Hypocampe_Boat_625_mtres/,https://www.tayara.tn/mediaGateway/resize-image?img=5d/5d91827b-ccd6-498a-a378-6d77a9c03bf1&w=300,,,,,,,,,,,,,
221,Mahindra Kuv 100 k8 première main,34000,https://www.tayara.tn/fr/item/67603234b7de28167ebfd4a9/Voitures/Tunis/El_Menzah_9/Mahindra_Kuv_100_k8_premire_main/,https://www.tayara.tn/mediaGateway/resize-image?img=fc/fc31e791-38ee-43dd-b215-e2b97b220bac&w=300,46000,Blanc,Avec kilométrage,Manuelle,2020,1.2L,Mahindra,Hover,5,Autres,Essence,,
222,Mercedes Benz classe S350 AMG V6 Diesel Importée,160000,https://www.tayara.tn/fr/item/67602eeff39faeaa98bac434/Voitures/Nabeul/Klibia/Mercedes_Benz_classe_S350_AMG_V6_Diesel_Importe/,https://www.tayara.tn/mediaGateway/resize-image?img=ce/cedc67b1-94c0-49dc-81a4-5c292de1839f&w=300,21000,Noir,Avec kilométrage,Automatique,2009,3.0L,Mercedes-Benz,Classe S,15,Berline,Diesel,,
223,BMW série 1 118i,67000,https://www.tayara.tn/fr/item/6756efed8729cead59e8e437/Voitures/Ariana/Ennasr/BMW_srie_1_118i_/,https://www.tayara.tn/mediaGateway/resize-image?img=b0/b070414f-e940-42e6-8238-e719e0ffa15e&w=300,60000,Blanc,Avec kilométrage,Automatique,2017,1.5L,BMW,Serie 1,7,Compacte,Essence,,
224,Opel Corsa 2010,24000,https://www.tayara.tn/fr/item/675ed44bb7de28167ebf03f6/Voitures/Sousse/Hammam_Sousse/Opel_Corsa_2010/,https://www.tayara.tn/mediaGateway/resize-image?img=41/41f8cbbb-729c-4194-9629-3d6b4295af07&w=300,70000,Blanc,Avec kilométrage,Manuelle,2010,<1.0L,Opel,Corsa,4,Berline,Essence,,
225,فرصة53883259,17900,https://www.tayara.tn/fr/item/675ed0eef39faeaa98b9f1c2/Voitures/Mdenine/Autres_Villes/53883259_/,https://www.tayara.tn/mediaGateway/resize-image?img=dd/ddf1e6ae-3846-466d-bc76-4e9783d611b4&w=300,300,Bleu,Avec kilométrage,Manuelle,2005,1.4L,Peugeot,307 CC,8,Cabriolet,Essence,,
226,Toyota Rav 4,35500,https://www.tayara.tn/fr/item/675ed040f39faeaa98b9f140/Voitures/Mdenine/Djerba_Houmt_Souk/Toyota_Rav_4/,https://www.tayara.tn/mediaGateway/resize-image?img=ca/ca16ebe1-848e-41cd-90be-9d2e0bb1b4cb&w=300,260000,Noir,Avec kilométrage,Manuelle,2005,2.0L,Toyota,RAV 4,8,4 x 4,Diesel,,
227,A' vendre Clio classique première main,24700,https://www.tayara.tn/fr/item/675d607df39faeaa98b93baa/Voitures/Sfax/Route_El_Afrane/A_vendre_Clio_classique_premire_main_/,https://www.tayara.tn/mediaGateway/resize-image?img=49/496c6b21-dd39-4320-bbc6-3adfbedf4670&w=300,185,Gris,Avec kilométrage,Manuelle,2004,1.2L,Renault,Clio,5,Berline,Essence,,
