mileage,year,transmission,gearbox,fuel_type,location,brand,model,exterior_color,interior_color,upholstery,seats,doors,fiscal_power,engine_displacement,age,mileage_per_year,seats_per_doors,mileage_efficiency,engine_fiscal_interaction
0.26482213438735175,2017.0,1,1,2,1,34,86,10,5,4,5.0,5.0,0.04545454545454544,0.14784461563678084,0.2,0.2644736842105263,0.2857142857142857,0.0037535055365558426,0.03113802478420795
0.004733201581027667,2023.0,2,0,2,15,50,147,3,2,5,5.0,4.0,0.06818181818181818,0.09850844123914113,0.05,0.018907894736842106,0.40476190476190477,0.21535099693647683,0.029811071201649393
0.07905138339920947,2023.0,0,0,2,19,4,272,3,3,1,4.0,5.0,0.13636363636363638,0.18029831175217173,0.05,0.3157894736842105,0.19047619047619047,0.01636985699634076,0.07081696252977
0.19169960474308298,2017.0,2,0,2,14,4,272,3,1,2,5.0,5.0,0.06818181818181818,0.11473528929683655,0.2,0.19144736842105262,0.2857142857142857,0.004804278739612615,0.03280644199224575
0.11462450592885375,2019.0,2,1,2,19,9,61,10,2,5,5.0,5.0,0.022727272727272735,0.04933617439763974,0.15000000000000002,0.1526315789473684,0.2857142857142857,0.006254714548019998,0.010369256171198623
0.3181818181818181,2009.0,1,0,0,19,34,91,10,2,2,5.0,4.0,0.1818181818181818,0.2625799049336174,0.4,0.15888157894736843,0.40476190476190477,0.004477348730415006,0.11412665274878218
0.07707509881422923,2022.0,0,0,2,19,28,259,10,5,1,5.0,4.0,0.13636363636363638,0.11506310440911324,0.07500000000000001,0.20526315789473684,0.40476190476190477,0.013286571316719849,0.05361411152461348
0.23913043478260868,2017.0,2,1,0,19,50,68,9,5,4,2.0,4.0,0.022727272727272735,0.11506310440911324,0.2,0.2388157894736842,0.047619047619047616,0.0036810576896461468,0.019035516539374214
0.2134387351778656,2021.0,2,0,0,14,9,67,13,5,0,5.0,5.0,0.04545454545454544,0.09834453368300278,0.1,0.4263157894736842,0.2857142857142857,0.0039046697842750554,0.02330597302005126
0.11857707509881421,2018.0,2,0,2,0,20,106,7,5,1,5.0,5.0,0.13636363636363638,0.016718570726110465,0.17500000000000002,0.13533834586466165,0.2857142857142857,0.004870764979584773,0.027680165285684025
0.28656126482213434,2013.0,2,0,0,0,41,73,4,3,1,5.0,5.0,0.2727272727272727,0.016718570726110465,0.30000000000000004,0.19078947368421054,0.2857142857142857,0.0014952782273037345,0.05361411152461348
0.17786561264822132,2015.0,2,0,2,19,42,71,3,0,5,5.0,4.0,0.04545454545454544,0.04917226684150139,0.25,0.14210526315789473,0.40476190476190477,0.003711450745213112,0.015525789148372429
0.12450592885375493,2019.0,2,0,2,19,34,86,7,5,0,5.0,5.0,0.11363636363636365,0.06589083756761185,0.15000000000000002,0.16578947368421051,0.2857142857142857,0.006241760999418808,0.03502811672004737
0.3102766798418972,2016.0,2,0,0,19,34,89,10,5,4,5.0,4.0,0.04545454545454544,0.11473528929683655,0.225,0.2754385964912281,0.40476190476190477,0.0026291078950275997,0.025899367643944203
0.35573122529644263,2017.0,0,0,0,1,41,73,10,5,2,5.0,4.0,0.25,0.3445336830027864,0.2,0.35526315789473684,0.40476190476190477,0.004870764979584773,0.17896151834610577
0.5731225296442687,2016.0,2,1,2,14,15,135,10,5,4,5.0,4.0,0.11363636363636365,0.09867234879527945,0.225,0.5087719298245614,0.40476190476190477,0.0008996040945482576,0.0428083005917262
0.11126482213438733,2021.0,2,0,2,2,4,265,10,5,5,5.0,5.0,0.06818181818181818,0.09867234879527945,0.1,0.22223684210526315,0.2857142857142857,0.008317492806357584,0.02984132747226148
0.592885375494071,2003.0,2,1,0,0,27,148,7,5,1,5.0,5.0,0.13636363636363638,0.016718570726110465,0.55,0.21531100478468898,0.2857142857142857,0.0002642183529424153,0.027680165285684025
0.15412252964426876,2021.0,1,0,6,15,2,227,6,2,5,5.0,4.0,0.09090909090909091,0.09834453368300278,0.1,0.3078394736842105,0.40476190476190477,0.005748971734279273,0.036255656842023365
0.6916996047430829,2019.0,0,0,0,14,49,185,3,5,5,7.0,5.0,0.1590909090909091,0.3445336830027864,0.15000000000000002,0.9210526315789473,0.47619047619047616,0.0020739330991233415,0.12709362586824688
0.06818577075098814,2021.0,2,0,2,15,2,31,4,2,5,5.0,4.0,0.09090909090909091,0.1804622193083101,0.1,0.1361921052631579,0.40476190476190477,0.019129870636034753,0.05357953292962823
0.011857707509881422,2024.0,2,0,2,19,50,284,10,2,4,5.0,5.0,0.09090909090909091,0.09834453368300278,0.025,0.09473684210526316,0.2857142857142857,0.08537016728015998,0.036255656842023365
0.011857707509881422,2024.0,2,0,2,19,50,284,10,2,4,5.0,5.0,0.09090909090909091,0.09834453368300278,0.025,0.09473684210526316,0.2857142857142857,0.08537016728015998,0.036255656842023365
0.19565217391304346,2019.0,2,0,2,19,19,158,3,3,1,5.0,5.0,0.11363636363636365,0.09850844123914113,0.15000000000000002,0.26052631578947366,0.2857142857142857,0.004343803963961291,0.04276939967236781
0.05830039525691699,2022.0,2,1,2,19,15,121,4,5,5,5.0,5.0,0.06818181818181818,0.016390755613833796,0.07500000000000001,0.15526315789473685,0.2857142857142857,0.010800717798118451,0.014652679624995136
0.10079051383399208,2021.0,1,1,0,19,40,186,7,5,5,5.0,4.0,0.04545454545454544,0.09867234879527945,0.1,0.2013157894736842,0.40476190476190477,0.009274081607992908,0.02335784091252912
0.08893280632411066,2021.0,2,0,6,15,34,142,10,3,1,5.0,5.0,0.1818181818181818,0.17980658908375677,0.1,0.17763157894736842,0.2857142857142857,0.014429349229867664,0.08793336704746345
0.19762845849802368,2021.0,2,1,2,19,50,147,3,5,5,5.0,5.0,0.04545454545454544,0.016554663169972117,0.1,0.39473684210526316,0.2857142857142857,0.0025640367562936124,0.010364933846825469
0.1719367588932806,2018.0,2,0,2,19,50,146,10,5,5,5.0,5.0,0.04545454545454544,0.03310932633994426,0.17500000000000002,0.1962406015037594,0.2857142857142857,0.0034808586698219924,0.012984262416957342
0.011857707509881422,2024.0,2,0,6,19,42,97,10,5,5,5.0,5.0,0.09090909090909091,0.11506310440911324,0.025,0.09473684210526316,0.2857142857142857,0.09124351422912898,0.039782673530517766
0.04644268774703557,2022.0,2,0,2,19,35,313,3,5,4,5.0,5.0,0.06818181818181818,0.09834453368300278,0.07500000000000001,0.12368421052631579,0.2857142857142857,0.02113579503684646,0.029780814931037312
